Installed,Installed
"Not Installed","Not Installed"
"Facebook Reviews","Facebook Reviews"
"General Settings","General Settings"
"Facebook AppID","Facebook AppID"
"Get at http://www.facebook.com/developers/createapp.php ","Get at http://www.facebook.com/developers/createapp.php "
"Review Title","Review Title"
"Leave empty to use the product page title","Leave empty to use the product page title"
"Reviews per Page","Reviews per Page"
"Chronological Order","Chronological Order"
"Display Options","Display Options"
"Block Width (px)","Block Width (px)"
"No Default Styles","No Default Styles"
"Custom CSS","Custom CSS"
"Remove Extension Product Page Link","Remove Extension Product Page Link"
"Social Login","Social Login"
Status,Status
"Provide single-click rapid registration & login process for your customers. See more details <a target=""_blank"" href=""https://amasty.com/social-login-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=fbreview_to_social_login_m2"">here</a>.","Provide single-click rapid registration & login process for your customers. See more details <a target=""_blank"" href=""https://amasty.com/social-login-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=fbreview_to_social_login_m2"">here</a>."
